username,time in 2 month,time in 3 month,time in 4 month,time in 5 month,time in 6 month,total time
dmitriikuznetsov8,0.0,0.0,0.0,0.0,0.0,0.0
rudinandrey,0.0,0.0,0.0,0.0,0.0,0.0
pjotrdanilovvv,0.0,0.0,0.0,0.0,0.0,0.0
tihonoffd,0.0,0.0,0.0,0.0,0.0,0.0
kimsy,0.0,0.0,0.0,0.0,0.0,0.0
otinoff,0.0,0.0,0.0,0.0,0.0,0.0
djeri,0.0,0.0,0.0,0.0,0.0,0.0
aleksandrakuznetsova2,0.0,0.0,0.0,0.0,0.0,0.0
vladislavnektov,0.0,0.0,0.0,0.0,0.0,0.0
vdvspb,0.0,0.0,0.0,0.0,0.0,0.0
bambook345,0.0,0.0,0.0,0.0,0.0,0.0
Herdboy,0.0,0.0,0.0,0.0,0.0,0.0
eug_piet,0.0,0.0,0.0,0.0,0.0,0.0
jn8momotov,0.0,0.0,0.0,0.0,0.0,0.0
katerina_zemlyakova,0.0,0.0,0.0,0.0,0.0,0.0
pavel7884,0.0,0.0,0.0,0.0,0.0,0.0
juliamal,0.0,0.0,0.0,0.0,0.0,0.0
dannik777,0.0,0.0,0.0,0.0,0.0,0.0
popov_lip,0.0,0.0,0.0,0.0,0.0,0.0
kostya67,0.0,0.0,0.0,0.0,0.0,0.0
zty,0.0,0.0,0.0,0.0,0.0,0.0
id64101998,0.0,0.0,0.0,0.0,0.0,0.0
apashkov,0.0,0.0,0.0,0.0,0.0,0.0
stasyn,0.0,0.0,0.0,0.0,0.0,0.0
bekhruz_m,0.0,0.0,0.0,0.0,0.0,0.0
povtandseo,0.0,0.0,0.0,0.0,0.0,0.0
Dzhimless,0.0,0.0,0.0,0.0,0.0,0.0
irinavamolina,0.0,0.0,0.0,0.0,0.0,0.0
taniakhvan,0.0,0.0,0.0,0.0,0.0,0.0
livanova_2,0.0,0.0,0.0,0.0,0.0,0.0
vketti,0.0,0.0,0.0,0.0,0.0,0.0
id288718953,0.0,0.0,0.0,0.0,0.0,0.0
vitaliisnitiuk,0.0,0.0,0.0,0.0,0.0,0.0
aliya_um123,0.0,0.0,0.0,0.0,0.0,0.0
epodvalny,0.0,0.0,0.0,0.0,0.0,0.0
denysbulantsev,0.0,0.0,0.0,0.0,0.0,0.0
