  user_id  time_on_course
---------  -----------------
  1302061  19 days, 5:47:43
  1366223  12 days, 20:55:12
   227881  10 days, 14:44:55
   422325  9 days, 11:37:59
   411198  9 days, 11:37:20
   203775  7 days, 20:47:44
  1341503  7 days, 19:24:04
   423204  7 days, 18:32:12
  1416947  7 days, 7:07:28
   423553  7 days, 4:58:11
   859027  6 days, 5:51:13
  1388487  5 days, 23:18:01
   227913  5 days, 20:45:31
   418675  5 days, 20:28:36
   416463  5 days, 16:00:29
   622180  5 days, 14:40:42
  1255615  5 days, 10:02:58
  1341507  5 days, 3:25:55
  1419659  5 days, 2:49:56
   430773  5 days, 1:38:17
   383787  4 days, 21:46:39
   414323  4 days, 16:12:30
   422771  4 days, 11:20:28
   120546  4 days, 9:04:06
   376818  4 days, 3:15:28
   249894  4 days, 3:04:44
  1306382  3 days, 18:13:57
  1307188  3 days, 15:45:30
  1429891  3 days, 11:31:38
   433378  3 days, 11:05:45
  1307171  3 days, 9:53:08
   224090  3 days, 9:16:29
   743824  3 days, 3:35:26
   436698  3 days, 1:23:16
   413817  2 days, 23:01:51
     3172  2 days, 21:33:31
   724663  2 days, 20:43:03
   223339  2 days, 20:03:33
   413847  2 days, 18:00:31
   466201  2 days, 17:27:03
  1307176  2 days, 17:12:49
  1307190  2 days, 15:41:15
   422630  2 days, 13:08:42
  1341501  2 days, 11:08:26
  1312078  2 days, 9:09:24
  1335204  2 days, 8:26:18
   413518  2 days, 7:25:12
   223734  2 days, 7:12:24
   387510  2 days, 3:59:34
  1337035  2 days, 1:45:59
   108160  2 days, 1:36:35
   383785  2 days, 1:12:08
   418955  1 day, 23:56:14
   425049  1 day, 22:28:17
   160306  1 day, 20:19:32
  1317127  1 day, 20:08:47
  1388380  1 day, 19:56:49
   296910  1 day, 19:18:24
   551387  1 day, 19:04:42
   421512  1 day, 18:30:27
   422207  1 day, 17:39:46
   383896  1 day, 17:24:27
  1322376  1 day, 17:18:09
  1096900  1 day, 17:14:30
    38445  1 day, 16:40:29
  1385310  1 day, 16:38:10
   224309  1 day, 16:25:48
  1308800  1 day, 16:05:59
  1298441  1 day, 15:02:07
  1326285  1 day, 14:59:21
   472117  1 day, 12:31:32
  1311023  1 day, 12:28:16
   774706  1 day, 11:20:12
   383890  1 day, 10:48:08
   223783  1 day, 10:45:41
  1307180  1 day, 10:33:04
  1337032  1 day, 9:48:25
  1354960  1 day, 9:31:37
  1305762  1 day, 9:23:11
  1360579  1 day, 9:20:41
   549344  1 day, 8:43:48
  1334535  1 day, 8:23:45
   383891  1 day, 7:45:55
   191892  1 day, 7:35:17
   622621  1 day, 7:15:14
