time_access,page_url
2019-03-14 16:12:06,https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/da3680547a9942daabd3c77ff97ae450/022ecf8906a24ea2855e5cafa256a91d/
2019-03-14 16:12:25,https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/da3680547a9942daabd3c77ff97ae450/022ecf8906a24ea2855e5cafa256a91d/
2019-03-14 16:12:26,https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/da3680547a9942daabd3c77ff97ae450/022ecf8906a24ea2855e5cafa256a91d/
2019-03-14 16:13:31,https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/da3680547a9942daabd3c77ff97ae450/022ecf8906a24ea2855e5cafa256a91d/
2019-03-14 16:13:31,https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/da3680547a9942daabd3c77ff97ae450/022ecf8906a24ea2855e5cafa256a91d/
2019-03-14 16:13:35,https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/da3680547a9942daabd3c77ff97ae450/022ecf8906a24ea2855e5cafa256a91d/
2019-03-14 16:15:26,https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/da3680547a9942daabd3c77ff97ae450/022ecf8906a24ea2855e5cafa256a91d/
2019-03-14 16:15:42,https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/da3680547a9942daabd3c77ff97ae450/022ecf8906a24ea2855e5cafa256a91d/
2019-03-15 06:53:07,https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/da3680547a9942daabd3c77ff97ae450/022ecf8906a24ea2855e5cafa256a91d/
2019-03-15 17:17:43,https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/da3680547a9942daabd3c77ff97ae450/022ecf8906a24ea2855e5cafa256a91d/
2019-03-15 17:19:44,https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/da3680547a9942daabd3c77ff97ae450/022ecf8906a24ea2855e5cafa256a91d/
2019-03-15 17:19:46,https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/da3680547a9942daabd3c77ff97ae450/022ecf8906a24ea2855e5cafa256a91d/
2019-03-15 17:24:23,https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/da3680547a9942daabd3c77ff97ae450/a0964c6aa64c4c4dab12c1334657e25c/?child=first
2019-03-15 17:24:27,https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/da3680547a9942daabd3c77ff97ae450/a0964c6aa64c4c4dab12c1334657e25c/?child=first
2019-03-15 17:24:28,https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/da3680547a9942daabd3c77ff97ae450/a0964c6aa64c4c4dab12c1334657e25c/?child=first
2019-03-15 17:24:29,https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/da3680547a9942daabd3c77ff97ae450/a0964c6aa64c4c4dab12c1334657e25c/?child=first
2019-03-15 17:24:39,https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/da3680547a9942daabd3c77ff97ae450/a0964c6aa64c4c4dab12c1334657e25c/?child=first
2019-03-15 17:24:40,https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/da3680547a9942daabd3c77ff97ae450/a0964c6aa64c4c4dab12c1334657e25c/?child=first
2019-03-15 17:24:48,https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/da3680547a9942daabd3c77ff97ae450/a0964c6aa64c4c4dab12c1334657e25c/?child=first
2019-03-15 17:24:49,https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/da3680547a9942daabd3c77ff97ae450/a0964c6aa64c4c4dab12c1334657e25c/?child=first
2019-03-15 17:24:52,https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/da3680547a9942daabd3c77ff97ae450/a0964c6aa64c4c4dab12c1334657e25c/?child=first
2019-03-15 17:24:53,https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/da3680547a9942daabd3c77ff97ae450/a0964c6aa64c4c4dab12c1334657e25c/?child=first
2019-03-15 17:25:08,https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/da3680547a9942daabd3c77ff97ae450/a0964c6aa64c4c4dab12c1334657e25c/?child=first
2019-03-15 17:25:10,https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/da3680547a9942daabd3c77ff97ae450/a0964c6aa64c4c4dab12c1334657e25c/?child=first
2019-03-16 18:18:02,https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/da3680547a9942daabd3c77ff97ae450/aa9ebe1cd2b34dc38b866a5cb525be64/
2019-03-16 18:18:03,https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/da3680547a9942daabd3c77ff97ae450/aa9ebe1cd2b34dc38b866a5cb525be64/
2019-03-16 18:18:04,https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/da3680547a9942daabd3c77ff97ae450/aa9ebe1cd2b34dc38b866a5cb525be64/
2019-03-16 18:18:48,https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/da3680547a9942daabd3c77ff97ae450/a0964c6aa64c4c4dab12c1334657e25c/
2019-03-16 18:18:48,https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/da3680547a9942daabd3c77ff97ae450/a0964c6aa64c4c4dab12c1334657e25c/
2019-03-16 18:18:49,https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/da3680547a9942daabd3c77ff97ae450/a0964c6aa64c4c4dab12c1334657e25c/
2019-03-16 18:39:06,https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/da3680547a9942daabd3c77ff97ae450/022ecf8906a24ea2855e5cafa256a91d/
2019-03-16 20:01:12,https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/da3680547a9942daabd3c77ff97ae450/022ecf8906a24ea2855e5cafa256a91d/
2019-03-16 20:01:12,https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/da3680547a9942daabd3c77ff97ae450/022ecf8906a24ea2855e5cafa256a91d/
2019-03-16 20:01:14,https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/da3680547a9942daabd3c77ff97ae450/022ecf8906a24ea2855e5cafa256a91d/
2019-03-16 20:01:15,https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/83921d2d05e848dba220ab52731d2e1b/4badef0dae9746b7a1c21c216c9b1efd/
2019-03-16 20:01:18,https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/83921d2d05e848dba220ab52731d2e1b/4badef0dae9746b7a1c21c216c9b1efd/
2019-03-16 20:01:18,https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/83921d2d05e848dba220ab52731d2e1b/4badef0dae9746b7a1c21c216c9b1efd/
2019-03-16 20:01:19,https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/83921d2d05e848dba220ab52731d2e1b/4badef0dae9746b7a1c21c216c9b1efd/
2019-03-16 20:01:24,https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/83921d2d05e848dba220ab52731d2e1b/e4cc879293984e6fa21610ee623f3c15/
2019-03-16 20:01:24,https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/83921d2d05e848dba220ab52731d2e1b/e4cc879293984e6fa21610ee623f3c15/
2019-03-16 20:01:25,https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/83921d2d05e848dba220ab52731d2e1b/e4cc879293984e6fa21610ee623f3c15/
2019-03-16 20:01:26,https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/83921d2d05e848dba220ab52731d2e1b/4badef0dae9746b7a1c21c216c9b1efd/
2019-03-16 20:01:29,https://courses.openedu.ru/courses/course-v1:spbstu+DATAM+spring_2019/courseware/83921d2d05e848dba220ab52731d2e1b/4badef0dae9746b7a1c21c216c9b1efd/
